package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.example.cupcake.AnimatedStartScreen,AnimatedStartScreen,1,0,1,0,0,0,0,0,1,2,
com.example.cupcake.AnimatedFlavorScreen,AnimatedFlavorScreen,1,0,1,0,0,0,0,0,1,2,
com.example.cupcake.AnimatedPickupScreen,AnimatedPickupScreen,1,0,1,0,0,0,0,0,1,2,
com.example.cupcake.AnimatedSummaryScreen,AnimatedSummaryScreen,1,0,1,0,0,0,0,0,1,2,
com.example.cupcake.CupcakeOrder,CupcakeOrder,1,0,1,0,0,0,0,0,1,5,
com.example.cupcake.FlavorScreen,FlavorScreen,1,1,1,0,0,0,1,0,2,12,
com.example.cupcake.PreviewFlavorScreen,PreviewFlavorScreen,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.PickupScreen,PickupScreen,1,1,1,0,0,0,1,0,2,7,
com.example.cupcake.PreviewPickupScreen,PreviewPickupScreen,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.StartScreen,StartScreen,1,1,1,0,0,0,1,0,2,7,
com.example.cupcake.PreviewStartScreen,PreviewStartScreen,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.SummaryScreen,SummaryScreen,1,1,1,0,0,0,1,0,2,7,
com.example.cupcake.PreviewSummaryScreen,PreviewSummaryScreen,1,1,1,0,0,0,0,0,1,1,
com.example.customlayout.CustomLayout,CustomLayout,1,1,1,0,0,0,0,0,1,1,
com.example.customlayout.MultiColumn,MultiColumn,1,1,1,0,0,0,0,0,1,1,
com.example.customlayout.MultiColumnPreview,MultiColumnPreview,1,1,1,0,0,0,0,0,1,1,
