package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.example.cupcake.screens.App,App,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.AppBar,AppBar,1,1,1,0,0,0,0,0,1,3,
com.example.cupcake.screens.AppContent,AppContent,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.screens.FlavorScreen,FlavorScreen,1,1,1,0,0,0,1,0,2,3,
com.example.cupcake.screens.FlavorPreview,FlavorPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.PickupScreen,PickupScreen,1,1,1,0,0,0,1,0,2,3,
com.example.cupcake.screens.PickupPreview,PickupPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.StartScreen,StartScreen,1,1,1,0,0,0,1,0,2,2,
com.example.cupcake.screens.StartPreview,StartPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.SummaryScreen,SummaryScreen,1,1,1,0,0,0,1,0,2,3,
com.example.cupcake.screens.PickupPreview,PickupPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.theme.PrimaryButton,PrimaryButton,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.theme.SecondaryButton,SecondaryButton,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.theme.RadioSelect,RadioSelect,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.theme.MainTheme,MainTheme,1,1,1,0,0,0,0,0,3,10,
