package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.example.cupcake.navigation.rememberCupcakeNavigation,rememberCupcakeNavigation,1,0,0,0,0,0,0,0,1,1,
com.example.cupcake.screens.FlavorScreen,FlavorScreen,1,1,1,0,0,0,0,0,1,9,
com.example.cupcake.screens.FlavorScreenPreview,FlavorScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.PickupScreen,PickupScreen,1,1,1,0,0,0,0,0,1,4,
com.example.cupcake.screens.PickupScreenPreview,PickupScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.StartScreen,StartScreen,1,1,1,0,0,0,0,0,1,2,
com.example.cupcake.screens.StartScreenContent,StartScreenContent,1,1,1,0,0,0,0,0,1,3,
com.example.cupcake.screens.StartScreenPreview,StartScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.screens.SummaryScreen,SummaryScreen,1,1,1,0,0,0,0,0,1,7,
com.example.cupcake.screens.SummaryScreenContent,SummaryScreenContent,1,1,1,0,0,0,0,0,1,3,
com.example.cupcake.screens.SummaryScreenPreview,SummaryScreenPreview,1,1,1,0,0,0,0,0,1,1,
com.example.cupcake.theme.CupcakeAppTheme,CupcakeAppTheme,1,1,1,0,0,0,1,0,2,2,
com.example.cupcake.widgets.CupcakeCustomizationStep,CupcakeCustomizationStep,1,1,1,0,0,0,0,0,1,3,
com.example.cupcake.widgets.RadioGroup,RadioGroup,1,1,1,0,0,0,0,0,1,0,
com.example.cupcake.widgets.RadioVariant,RadioVariant,1,1,1,0,0,0,0,0,1,1,
